grsItemDispAuth,grsItemTitle,grsItemDescription,grsItemRetention,grsItemDateApproved,grsItemRevision,grsItemCategories
GRS-455,Fire run reports,"These reports document each dispatched fire run. They are used for budget planning, summary reports, and litigation. They include identification number, incident number, alarm time, arrival time, incident type, action taken, cause of fire, address, names of occupant and owner, telephone number, vehicles and crews responding, incident-related injuries or death information, name of officer in charge, and name and position of person completing report.","Retain for 6 years, and then destroy records.",1991-12-01,Current,Fire Department
GRS-199,Loss control inspection reports,"Each year a governmental entity may undertake self-inspection to identify potential hazards within their buildings or on their grounds. If the agency completes this report, they can get a 15 percent discount on their premium after a follow-up survey has been conducted. This record might also be used as evidence in defense of a claim.","Retain for 12 years, and then destroy records.",1991-06-01,Current,Risk Management
GRS-456,Hose test reports,"These reports record tests required by fire departments of all fire hoses. They are used to determine whether hoses are in good working condition. They include test date, date previously tested, apparatus number, hose diameter, conditions found, service date, defects corrected, and officer's signature in charge of test.","Retain for 2 years, and then destroy records.",1991-12-01,Current,Fire Department
GRS-923,Promotional tests,"These are tests taken by municipal employees to determine eligibility for promotion. They include the actual tests, answer keys, individual test scores, and the results from oral interviews.","Retain for 2 years, and then destroy records.",1996-11-01,Current,Human Resources
GRS-463,Tank applications and permit records,"These files contain applications received by the fire department and permits issued to individuals desiring to store flammable liquid or liquid petroleum. Permits are only issued after inspection and approval of tanks. They include an application form, permit, a sketch or diagram of location along with tank dimensions, and an inspection report.","Retain for 6 years, and then destroy records.",1991-12-01,Current,Fire Department
GRS-690,Signalized intersection records,"These records are registers, card files, and similar records providing an inventory of all traffic signs, signal equipment and the timing set-up of each signalized intersection. They are used to determine compliance with safety guidelines and as a record of changes on a historical basis. They include information concerning poles, signal head information, and signal control.","Retain for 7 years, and then destroy records.",1994-06-01,Current,Public Works
GRS-692,Special events permits,"These applications are completed by persons requesting permits to hold special events (i.e., film crews, races, parades) on the right-of-way. They include application number; event type and description; sponsoring group's name; admission fee; event date; event times; promotional agency name; contract person's name, address, and telephone number; proposed location or route; whether a fee waiver is requested; estimated number of participants and spectators; authorizing signature and date; date to appear on county commission agenda; sheriff's and local health department's recommendations; decision; and authorizing signature.","Retain for 1 year after expiration of permit or license, and then destroy records.",1994-06-01,Current,Public Works
GRS-469,Fatal fire investigation case files,"These case files document all investigations into fires causing fatalities. They may include various report forms, interviews, photographs, newspaper clippings, and other information as necessary to undertake a complete investigation.",Retain permanently. Records may be transferred to the archives.,1996-01-01,Current,Fire Department
GRS-1916,Employee training records,"These records document employee participation in training programs sponsored by governmental agencies or non-governmental institutions. Information may include correspondence, memoranda, reports, and other records relating to course availability and participation.","Retain until separation, and then destroy records.",1990-07-01,Current,Human Resources
GRS-1417,Meals and milk count reports,"These are reports submitted by each elementary and secondary school on milk and meals served daily. They are used to generate reimbursements for meals meeting regulating requirements. The report includes the date, school, total meals served, number of paid, reduced, free, paid, and adults served.","Retain for 3 years, and then destroy records.",1997-06-01,Current,Food Service
GRS-787,Bond redemption and destruction certificates,These are certificates sent to the municipality by the paying agent which track pay and destruction of bond coupons.,"Retain for 3 years after final action, and then destroy records.",1989-03-01,Current,Bonds and Bonding
GRS-722,Geospatial boundaries records,"These geospatial records of administrative boundaries include county, municipal, precinct, tax districts, subdivisions, and other important boundaries.",Permanent. Retain for 1 year. Records may be transferred to the archives.,2009-04-01,Current,Geospatial Data Sets
GRS-294,Condominium plats,"These are ""standard size original linen condominium plats . . . made by a registered Utah land surveyor,"" recorded with the county recorder. They include ""a description of the surface of the land included within the project, including all angular and linear data along the exterior boundaries of the property; linear measurements and location, with reference to the exterior boundaries, of building or buildings; diagrammatic floor plans; description or delineation of the boundaries of the unit or convertible space; a distinguishing number or other symbol for every physical unit identified on the condominium plat; to the location and dimensions of all easements appurtenant to the land included in the project; the 'convertible space' for each space . . . the location and dimension of any convertible lands"" (UCA 57-8-13(1) (2004).",Retain permanently. Transfer records to the archives.,2023-08-28,Current,Recorder
GRS-1988,Tax exemption files,Tax exemption certificates and related records.,"Retain for 3 years, and then destroy records.",2024-02-22,Current,Purchasing
GRS-147,Court ordered community service files,"These files document participation in court ordered community service projects. A district, circuit, or juvenile court may order the completion of a specific number of hours of community service in lieu of a jail term or payment of a fine. The files include an introduction form from the court which contains name, number of hours of community service ordered to perform, by which date, and any expectations; a copy of the court order; and time sheet showing how many hours are completed. The court having jurisdiction of the case retains the record copy of these records.","Retain for 1 year after resolution of issue, and then destroy records.",2024-04-29,Current,Human Resources
GRS-16588,Special education mediation agreements,"These records are executed Special Education Mediation Agreements between local education agencies and parents or adult students. A Special Education Mediation Agreement refers to an executed agreement described in 34 CFR § 300.506. Under 34 CFR § 300.506, if the parties resolve a special education dispute through the mediation process, the parties must execute a legally binding agreement that sets forth that resolution and that states that all discussions that occurred during the mediation process will remain confidential and may not be used as evidence in any subsequent due process hearing or civil proceeding and that is signed by both the parent and a representative of the agency who has the authority to bind such agency. A written, signed mediation agreement under 34 CFR § 300.506 is enforceable in any State court of competent jurisdiction or in a district court of the United States. Local education agencies may store these records, as well as the Utah State Board of Education if it is provided them by the parties.","Retain for 6 years after execution of agreement, and then destroy records.",2023-03-29,Current,
GRS-374,Evidence tracking records,"These records track the procurement and disposal of evidence. Information includes the case number or owner of evidence received, the list of evidence items, the reason for the collection of evidence, and the name of the officer submitting the evidence. Information also includes disposal area to which evidence is released, and date and authorization of release. Violent felony records including homicide, sexual assault and fatal crashes are not included in this schedule.","Retain for 10 years after case is closed, and then destroy records.",2024-01-22,Current,Law Enforcement
GRS-305,County official records,"These are copies of all official records recorded with the county recorder including deeds, mortgages, mining records, military discharges, etc. Upon payment of fees for the same, the recorder must record in the ""Official record' book all papers, documents, records, and other writings required or permitted by law to be recorded. In some counties all recorded instruments are compiled together as part of the ""Official records"", while others compile each type of instrument separately (See Deed records, Mortgage records, Mining records, Water records, etc.)",Retain permanently. Transfer records to the archives.,1991-09-01,Current,Recorder
GRS-251,Certificates of citizenship,"These books contain copies of certificates of citizenship issued to newly naturalized United States citizens. The certificates are printed forms containing blanks for the date, individual's name, place of birth, current county of residence, and the notarized signature of person seeking citizenship renouncing allegiance to any other country. Although these records are no longer created by state government, they may still exist and should follow this schedule.",Retain permanently. Records may be transferred to the archives.,1991-03-01,Current,Clerk
GRS-1991,Request for proposal records,These records are bids and proposals to provide products or services for a governmental entity. Information includes preliminary requirements for procurement of a commodity or service.,"Retain for 6 years after end of project or program, and then destroy records.",2015-06-01,Current,Purchasing
GRS-1732,Operational procedure and guideline records,"These records document actions taken to achieve objectives and implement policies through day to day operations, including training material related to routine processes. Operational procedure and guideline records are related to business activities that do not impact the rights of an individual.","Retain for 4 years after superseded, and then destroy records.",2016-12-01,Current,Administrative
GRS-1711,Records access requests and appeals,"These records are access requests as provided under the Government Records Access and Management Act (GRAMA) (Utah Code 63G-2-204(2011)) or in accordance with a subpoena. Included with the access requests are any notices of denial, appeals or any other records related to the request.","Retain for 2 years after final action, and then destroy records.",2014-06-01,Current,Administrative
GRS-1689,Records destruction files,Records which document the destruction of a governmental agency's records.,"Retain for 7 years after final action, and then destroy records.",2014-08-01,Current,Administrative
GRS-1655,Administrative hearing records,"Records of hearings held for various reasons including to regulate processes, change rules and policies, address the denial and revocation of licenses at the request of the public, or to discuss particular issues at the request of an executive body. Records may include meeting notices, proofs of publications, meeting minutes, the conclusions reached, and related correspondence.",Permanent. Retain for 5 years. Transfer records to the archives.,1990-07-01,Current,"Administrative,Meeting Minutes"
GRS-21,Project management records,"These files contain memoranda, preliminary reports, and other records documenting assignments and the progress of projects. These files do not contain the final reports.","Retain for 1 year after end of project or program, and then destroy records.",1991-06-01,Current,Administrative
GRS-16583,Emergency contact records,"These are records of emergency contacts for participants in programs for which such information is requested. Examples may include emergency contact information for senior center program participants, participants in special events, enrolled students, or employees for whom such information is requested or required. Records may include name and contact information of emergency contact, relation to subject, and other relevant notes.","Retain until separation, and then destroy records.
OR
Retain until superseded, and then destroy records.",2021-10-25,Current,Education
GRS-1501,Student enrollment and registration,These records capture the necessary information to enroll a student in a particular school and document their attendance and course of study. The application process of those seeking to home school or participate in alternative programs is included in this schedule.,"Retain until superseded, and then destroy records.
OR
Retain for 4 years, and then destroy records.",2013-08-01,Current,Education
GRS-360,Sex offender records,"Records maintained by state and local law enforcement agencies in order to document dex offenders living within their jurisdictions, as required by federal and state law.","Retain for 10 years after separation, and then destroy records.",2020-02-26,Current,Law Enforcement
GRS-111,Property maintenance and repair records,"These records document service repair and maintenance of government property. Information includes the request, work order, authorization, work logs, verification of work done, and related records.","Retain for 2 years, and then destroy records.",1991-06-01,Current,"Facility Management,Facility and Property,Maintenance"
GRS-1441,Teacher certification system,"This computer system documents all teachers certified to teach in the State of Utah. The Utah State Office of Education (USOE) adds basic information on certified teachers including degrees, state in-service training, certificates, and endorsements while the district is responsible for keeping employment information current. The district adds current assignments including an accurate specific percentage breakdown (e.g., 50 percent physical education, 25 percent teaching history, 25 percent teaching English), salary, lane and step, number of days working, and credit summary. The information is updated monthly and is audited by the USOE. When the teacher moves from one district to another, the employee must be terminated before the new district can add current information. The system includes demographic data (i.e., name, social security number, date of birth, home address), certificates and endorsements, criminal history (if any), inservice training received, and a listing of professional teaching experience.","Retain until superseded, and then destroy records.",1998-05-01,Current,Human Resources
GRS-1443,Personnel report,"It is used to update and inform the board members on the status of employment. It includes the names of individuals being hired, as well as their position and location of work. The report also gives the names of people who have left as well as their position, school, and reason for leaving.","Retain for 1 year, and then destroy records.",1998-05-01,Current,Human Resources
GRS-1551,School histories,These histories are compiled by the schools. They describe the school's beginnings and developments and include yearbooks and other publications of activities.,Retain permanently. Records may be transferred to the archives.,1999-10-01,Current,Education
GRS-2051,Scrapbooks,"These records are created by governmental entities compiling various items together to tell the story of their office. They include photographs, newspaper clippings, and other items pertaining to government activities, and actions and reactions of citizens.",Retain permanently. Transfer records to the archives.,1991-06-01,Current,Intrinsically Historical
GRS-724,Location records,These geospatial records contain information pertaining to geodetic networks and control points. They include latitude and longitude coordinates.,Permanent. Retain for 1 year. Records may be transferred to the archives.,2009-04-01,Current,Geospatial Data Sets
GRS-1801,"Bonds, notes & interest payments","These are critical bond documents that are used for the life of bills, notes, debt securities, debt obligations, or bonds. Included are book entries, statements and payment confirmations, application and certificate for eligibility, and related records.","Retain for 3 years after final action, and then destroy records.",2018-04-20,Current,Financial Management
GRS-1499,Student history,"This information includes each student's name, date of birth, parents or guardians; date student entered and exited the school and the number of days in attendance.",Permanent. Retain for 40 years after separation. Transfer records to the archives.,2013-08-01,Current,Education
GRS-1760,Local government routine administrative correspondence,"Incoming and outgoing business-related correspondence, regardless of format or mode of transmission, created in the course of administering agency functions and programs. Administrative correspondence documents work accomplished, transactions made, or actions taken. This correspondence documents the implementation of agency functions rather than the creation of functions or policies. Business-related correspondence, including email, that is related to a core function with an associated retention schedule should follow that associated schedule.","Retain for 3 years, and then destroy records.",2018-07-12,Current,Communication
GRS-1036,Attendance rolls,These are created by instructors to track class or activity attendance.,"Retain for 1 year, and then destroy records.",1997-06-01,Current,Parks and Recreation
GRS-2024,"Homicide, violent felonies and sex crime investigation files","These case files are created as a result of an investigation. These files may include the investigative report, original arrest report, supplemental reports, photographs, correspondence, officer's notes, and pertinent laboratory tests and related records. Violent felonies as defined by Utah Code 76-3-203.5(1)(c)(2019) are included in this schedule.",Retain permanently. Records may be transferred to the archives.,2015-05-01,Current,"Law Enforcement,Legal"
GRS-1497,Non-transferred student files,"These are student cumulative files for students whose records were not transferred but no longer attend this school. They were used to document the student's attendance. They include test scores, immunization record, eye testing, and all pertinent information on the student. These student files are commonly known as ""dead files.""","Retain for 3 years after separation, and then destroy records.",1999-10-01,Current,Education
GRS-2004,Public presentations files,"Speeches, addresses, and comments. Remarks made at formal ceremonies and during interviews by heads of agencies or their senior assistants concerning the programs of their agencies.",Permanent. Retain for 7 years. Transfer records to the archives.,2006-02-01,Current,Public Affairs
GRS-1725,Internal committee records,"These records document meetings of boards, committees, or teams that have no statutory authority to make public policy decisions. Information includes implementation of projects, programs or operational matters.","Retain until resolution of issue, and then destroy records.",2015-12-01,Current,"Administrative,Meeting Minutes"
GRS-2027,Officer and dispatch recordings,"Records document the actions of dispatch and law officers on duty. May include audio recordings, dashboard-mounted cameras and body-worn cameras not part of a larger case file.","Retain until resolution of issue, and then destroy records.",2024-01-22,Current,Law Enforcement
GRS-1709,Open meeting minutes & supplementary materials,"Approved minutes of an open meeting are the official record of the meeting of a public body. Contained in or with the minutes shall be the substance of all matters proposed, discussed, or decided, and votes taken (Utah Code 52-4-203(2014)). This retention schedule includes agendas, notices, any public materials distributed or presented during the meeting, as well as meeting packets or other documents in final form distributed to body members prior to or during the meeting in order to provide context for matters proposed, discussed, or decided. May include public and non-public materials.",Retain permanently. Records may be transferred to the archives.,2014-07-01,Current,"Administrative,Meeting Minutes"
GRS-1712,Open meeting recordings,"Audio or video recordings document what transpired in open meetings of public bodies and are the official record of the meeting until and unless written meeting minutes are approved. Recordings used in place of written minutes in accordance with Utah Code 52-4-203(2)(b) are meeting minutes and are subject to the general retention schedule for open meeting minutes and public materials (GRS-1709), per Utah Code 52-4-203(6)(2018).","Retain for 3 years after approval of written minutes, and then destroy records.",2014-07-01,Current,"Administrative,Meeting Minutes"
GRS-1710,Closed meeting records,"Recordings are required for the closed portion of meetings of a public body, except as provided by statute. The recording is the official record of a closed meeting (Utah Code 52-4-206(1)(a) and (2)(2014)).",Retain permanently. Records may be transferred to the archives.,2014-07-01,Current,"Administrative,Meeting Minutes"
GRS-1698,Employee and program productivity records,"Reports documenting work productivity of employees or an office. Includes weekly activity or production reports, monthly activity reports, etc.","Retain for 2 years after resolution of issue, and then destroy records.",2018-04-20,Current,Administrative
GRS-2023,Misdemeanor and felony investigation files,"These case files are created as a result of an investigation. These files may include the investigative report, original arrest report, supplemental reports, photographs, correspondence, officer's notes, and pertinent laboratory tests and related records.","Retain for 5 years after case is closed, and then destroy records.",2015-05-01,Current,"Law Enforcement,Legal"
GRS-50,Local government resolutions,"Local legislative bodies may exercise administrative powers by issuing resolutions. Records include formal opinions, decisions, and authorization issued by resolution.",Retain permanently. Transfer records to the archives.,1991-03-01,Current,Administrative
GRS-649,Recreation registration records,"These forms are used to register for recreational programs. They include registrant's name, address, and telephone number; program name and date(s); parent's/guardian's name if registrant is a minor; may also include information on attendance at previous training sessions; and a signed liability waiver statement.","Retain for 2 years, and then destroy records.",1995-11-01,Current,Parks and Recreation
GRS-2029,Mug shot records,"These are photographs and descriptions of arrested individuals which provide complete name, alias, physical description, date of arrest, and offense committed. Booking information and index may be included.",Permanent. Retain for 75 years. Transfer records to the archives.,2015-08-01,Current,Law Enforcement
GRS-2030,Criminal history records,"These are complete histories of arrested individuals which provide complete name, alias, nickname, residence, complete physical description, date of arrest, offense committed, and occupation. They are used for department investigations, statistics and information.","Retain for 75 years, and then destroy records.",2015-08-01,Current,"Law Enforcement,Legal"
GRS-1476,Special education student records,"These records document the progress and participation of students or clients enrolled in special education programs. A student with a disability under the age of 22 who has not graduated from high school with a regular diploma may participate in a public school program or extracurricular activity (Utah Code 53G-6-709). Information includes individualized education program records (IEPs), evaluations, parental information and correspondence, assessments and related records.

Retention note: Utah State Board of Education Special Education rules set a standard retention of 3 years after the records are ""no longer needed to provide educational services to the student,"" which is further defined as ""three years after the student graduates or three years after the student turns 22."" Local education agencies that bill to Medicaid are required to keep the records for 5 years after separation.","Retain for 3 years after separation, and then destroy records.
OR
Retain for 5 years after separation, and then destroy records.",2023-05-22,Current,Education
GRS-150,Training administration records,"These records document agency development, planning, and operation of training, instructional or outreach courses and events. Information may include curriculum requirements and objectives, program assessments, participation and evaluations, and documents relating to the facilitation of events.","Retain for 6 years, and then destroy records.",1991-06-01,Current,Administrative
GRS-2031,High profile criminal case files,"These case files document the investigation and prosecution of significant criminal cases referred to a prosecutor's office. These are cases involving corruption of public officials, cases attracting such publicity that precedents are set, and/or laws are changed, written, or rewritten, capital punishment cases, or cases wherein there is historic interest in the individuals involved.",Retain permanently. Transfer records to the archives.,2017-09-01,Current,"Law Enforcement,Legal"
GRS-2034,Civil case files,"These case files document civil court cases. Records include court filings, attorney's notes, various court pleadings and related records.","Retain for 10 years after case is closed, and then destroy records.",2018-04-03,Current,Legal
GRS-2035,High profile civil case files,"These case files document the investigation and prosecution of significant civil cases referred to a prosecutor's office. A case may be significant due to the subject, such as natural resource ownership property redevelopment, or corruption of public officials; or because it sets precedent and/or leads to public policy or laws being changed, written, or rewritten; or because it involves individuals wherein there is historic interest.",Retain permanently. Transfer records to the archives.,2020-02-26,Current,Legal
GRS-2033,Prosecuted non-felony criminal case files,"These case files document the criminal cases referred to a prosecutor's office which result in a non-felony prosecution. These files may include investigative information, legal pleadings and motions, correspondence, transcripts, evidence, and related records. This information is largely duplicated in court or law enforcement case files.","Retain for 10 years after case is closed, and then destroy records.",2017-09-01,Current,Legal
GRS-1717,Program and policy development records,"These records are created by executive decision-makers to document the establishment and dissemination of agency programs, policies, and procedures. Executive decision-makers may include the Chair, Director, Chief Administrative Officer, Public Information Officer, Commissioner, Mayor, or other internal administrators as identified by the executive office. Includes development and decisions behind the policy or program, and the final product (e.g., approved policies). Related correspondence and email is included.",Permanent. Retain for 3 years after final action. Transfer records to the archives.,2020-02-26,Current,Administrative
GRS-1678,Publications,"Any record of enduring value, regardless of format or platform, that is disseminated by a governmental entity for public distribution. These may include website content, printed publications, newsletters, social media posts, and similar records. See Utah Code Section 9-7-101(7)(2017) and 9-7-208(4)(2006).",Retain permanently. Transfer records to the archives.,2018-03-19,Current,Administrative
GRS-1783,Customer request or complaint records,"These records document customer complaints or requests for service received and answered by the governmental entity. Information includes requester or complainant details, description of the request or problem, and actions taken by the agency.","Retain for 3 years, and then destroy records.",2018-04-20,Current,Facility Management
GRS-2020,Secure area access logs,"Registers or logs used to record names of outside contractors, service personnel, visitors, and employees admitted to secure areas in government offices and facilities, including jails.","Retain for 5 years, and then destroy records.",1990-07-01,Current,Security Services
GRS-1722,Formal opinion records,"These are the formal legal opinions researched, written and published by attorneys. They are necessary to maintain consistency of opinion in related matters.",Retain permanently. Transfer records to the archives.,2015-06-01,Current,Administrative
GRS-1729,Petition signature records,These records are petition signature sheets signed by individuals wishing to add a candidate or initiatives to the election ballot. Signatures are verified to determine whether petitioners are registered voters.,"Retain for 22 months, and then destroy records.",2016-07-01,Current,Administrative
GRS-1277,Program and project analysis records,"These records document research studies, program analyses, project assessments, etc. conducted by or on behalf of governmental entities in order to inform decisions regarding proposed or existing programs or projects. Information includes working papers, correspondence, findings, recommendations, and related records. The final reports are not included in this schedule.","Retain for 10 years after resolution of issue, and then destroy records.",1996-12-01,Current,Administrative
GRS-285,Vital records,"These records document ""birth, death, fetal death, marriage, divorce, dissolution of marriage, or annulment."" (Utah Code 26-2-2(20)(2014)) Documents may include registered certification or reports, applications, official registers and other similar records.",Retain permanently. Transfer records to the archives.,2015-02-01,Current,Clerk
GRS-1724,Permit and licensing records,"These records document individuals and businesses given permission to build or work within the consenting government's jurisdiction. Records include applications, certificates, registrations, permits, licenses, and related records. Indexes of building and business permits are historical and follow other general retention schedules.","Retain for 3 years after expiration of permit or license, and then destroy records.",2018-04-20,Current,Administrative
GRS-439,Building permit indexes,"These records are a register or index of building permits issued by the county or municipality. Information includes the type of license issued, applicant, address, and date.",Retain permanently. Records may be transferred to the archives.,1991-12-01,Current,Building Inspection
GRS-49,Local government ordinances and indexes,"These ordinances are rules, laws or statutes adopted by a local legislative body. Records include codified ordinances and indexes.",Retain permanently. Transfer records to the archives.,2017-04-01,Current,Administrative
GRS-286,Burial records,"These historical records document burials, interments, and disinterments. Information identifies burial rights, permits, ownership of plots, layout, location of and information about deceased persons and related records.",Retain permanently. Transfer records to the archives.,2015-04-01,Current,Clerk
GRS-667,Community development block grant historical records,"Community development block grants (CDBGs) are allocated by the federal government to provide resources to address a wide range of unique community development needs. These records document the application and completion of projects funded under this program and include both direct grants and regrants. Records include the initial application, yearly reports, and all final reports.",Retain permanently. Records may be transferred to the archives.,1995-11-01,Current,Planning and Zoning
GRS-1406,Operation manuals,"These are manuals on the operation of all equipment within district (e.g., heating and cooling systems). They are used to properly maintain and repair district equipment. They include model numbers; serial numbers; manufacturer's name, address, and telephone number; maintenance instructions; parts listings; and schematics.","Retain until superseded, and then destroy records.",1997-06-01,Current,Facility Management
GRS-1903,Payroll processing records,"These records verify compensation data for each employee, including salary, hourly rate and type of pay. Deductions are confirmed in processing payroll before employees are paid.","Retain for 3 years, and then destroy records.",2015-07-01,Current,Payroll
GRS-1966,Performance plans and evaluations,"This information documents an employee's performance, including awards, performance plans, qualification records, and evaluations.","Retain for 3 years after separation, and then destroy records.",2017-06-01,Current,Human Resources
GRS-1902,Timekeeping records,"Information regarding hours worked, paid or unpaid permitted absence from work for family emergency, sickness, personal time, vacation, or other reasons as outlined by policy are included in this schedule.","Retain for 3 years, and then destroy records.",2015-07-01,Current,Payroll
GRS-1856,Budget records,"These records are used to document the intended appropriation of funds. Information may include budget requests, proposals, and reports documenting the status of appropriations.","Retain for 4 years, and then destroy records.",2016-12-01,Current,Financial Management
GRS-1904,Payroll post processing records,This schedule is for payroll reporting. Each payroll period is closed out when disbursement information is verified using payroll reports.,"Retain for 7 years, and then destroy records.",2015-07-01,Current,"FINET,Payroll"
GRS-1965,Employment history records,"Employment history documents the application, hiring, cumulative salary, and employment with a governmental entity of all personnel, including all records necessary to calculate benefits. Information may include employee details, department and position information, earnings, deductions, and other records. Final actions taken as a result of disciplinary action are included in this schedule.","Retain until earliest of: three years after retirement or death, or 65 years after date of hire, and then destroy records.",2023-01-23,Current,Human Resources
GRS-167,Position analysis records,"These records are used to create new job positions, or update existing positions. Information includes job description and analysis, salary, justification, and related records.","Retain for 3 years after superseded, and then destroy records.",1991-06-01,Current,Human Resources
GRS-1758,State agency executive correspondence,"Incoming and outgoing business-related correspondence, regardless of format or mode of transmission, that provides unique information relating to the functions, policies, procedures or programs of a state agency. These records document executive decisions made regarding agency interests. Executive decision makers may include the Director, Chief Administrative Officer, Public Information Officer or other internal administrators as identified by the executive office.",Permanent. Retain for 5 years after separation. Transfer records to the archives.,2018-07-12,Current,Communication
GRS-1970,Verification of employment eligibility,"This background documentation is used to verify employment eligibility. Information may include background checks, fingerprints and requirements under the Immigration Reform and Control Act. The resume and application of hired individuals are part of the Employee History Records.","Only when an employee stops working for you should you calculate how much longer you must keep their Form I-9. Federal regulations state you must retain a Form I-9 for each person you hire for three years after the date of hire, or one year after the date employment ends, whichever is later.",2016-08-01,Current,Human Resources
GRS-1788,Preliminary plans and specifications,"These records are related to the plans and specifications of approved and constructed facilities, road or bridges. Information may include preliminary designs, specifications, planning, surveys, analysis, renovation, preservation and construction.","Retain for 3 years after final action, and then destroy records.",2014-09-01,Current,Facility Management
GRS-1731,Contract and lease records,"These records document contractual agreements for property use, products or services. Records may include requirements and terms, and the signed contract. Contractor payroll records are included.","Retain for 7 years after expiration of contractual agreement, and then destroy records.",2018-05-02,Current,Administrative
GRS-1119,Utility customer account records,"These are applications and agreements between a customer and government agency regarding utility service. They include account information collected by the agency in order to establish, provide, and bill for service.","Retain for 3 years after final action, and then destroy records.",1989-12-01,Current,Public Utilities
GRS-1713,Information governance records,"Records used in establishing and implementing records management policies, practices, and procedures. Included are inventories, finding aids, technological system data, privacy impact assessments (PIAs) and associated evidence, and related information. Record destruction files, including destruction logs, are not included in this schedule.","Retain until superseded or final action, and then destroy records.",2014-08-01,Current,Administrative
GRS-1747,Cartographic records,"Cartographic records which contain the officially designated record copy of maps created by an agency. These records document unique cartographic information about the state of Utah. They may include maps, charts, geospatial data sets , aerial photographs, globes, models, and raised relief maps. These are a graphic representation of the earth's surface drawn to scale.",Retain permanently. Transfer records to the archives.,2006-06-01,Current,"Administrative,Geospatial Data Sets"
GRS-16589,Land use final plans,"These records are approved and final plans related to land use under a government entity's jurisdiction. Records pertain to plans that have been implemented partly or in full.
Applications and plans may be related to any and all development, rezoning, use permitting, and property changes, or any activity received and processed by a planning and zoning department.. Plans are considered approved upon approval of a planning commission or similar stage of approval. Final plans are records that directly pertain to the approved plan submission.",Retain permanently. Records may be transferred to the archives.,2023-08-28,Current,Planning and Zoning
GRS-662,Site review planning records,"These files document the regulatory review and approval of commercial and industrial site plans by various county departments. They contain a checklist of approvals, copies of the recommendations of planning commission, cash receipts, site plan review forms, investigative reports and recommendations, building plans and related correspondence.",Retain permanently. Records may be transferred to the archives.,1992-03-01,Current,Planning and Zoning
GRS-16590,Land use submitted plans,"These records are non-approved or non-final plans related to land use under a governmental entity's jurisdiction. Records are applications and/or plans that were not implemented. Applications and plans may be related to any and all proposed development, rezoning, use permitting, and property changes, or any activity received and processed by a planning and zoning department. These records may be plans that were rejected by a planning commission or similar body, or plans and applications that were not completed by an applicant. Non-final plans are records that do not pertain to, or are superseded by, an approved application.","Retain for 10 years after final action, and then destroy records.
OR
Retain until administrative value met, whichever is greater, and then destroy records.",2023-08-28,Current,Planning and Zoning
GRS-663,Subdivision review case files,These case files document the developmental history of subdivision plans submitted to the Planning Commission for compliance review with applicable development ordinances and standards.,Retain permanently. Records may be transferred to the archives.,1992-03-01,Current,Planning and Zoning
GRS-1859,Grant records,"These records document grants received or awarded by governmental entities, which may contain applications, notice of award, reports, correspondence, and related records.","Retain for 7 years after final action, and then destroy records.",2016-12-01,Current,Financial Management
GRS-1706,Patient and client case files,"Documentation relating to client or patient medical information. Includes physical, psychiatric, dental, pharmaceutical, medical history, treatments, notes, reports, forms, memorandums, examinations, physical therapy, assessments, and all other related materials.","Retain for 7 years after case is closed, and then destroy records.
OR
Retain for 22 years after date of birth, whichever is greater, and then destroy records.",2013-06-01,Current,"Administrative,Health"
GRS-1789,Government construction as-built plans and specifications,"Final plans and specifications for approved and constructed buildings, facilities, roads, and bridges. Documents construction of new buildings, facilities, and infrastructure as well as renovation of owned buildings and rented buildings.",Permanent. Retain until final action. Records may be transferred to the archives.,2014-08-01,Current,Facility Management
GRS-2022,Disaster plan records,"Disaster plans for records and office operations ensure that essential government functions continue to be performed following natural disasters, accidents, technical, or attack related emergencies. Information includes plans for restoring operations and protecting facilities and resources. Disaster recovery training materials may be included.","Retain until superseded, and then destroy records.",2014-06-01,Current,Security Services
GRS-3,Annual or official reports,"These are official reports summarizing activities and accomplishments of a governmental entity or program which are produced and distributed. They may include statistics, narrative reports, graphics, and diagrams.",Retain permanently. Records may be transferred to the archives.,2018-04-16,Current,Administrative
GRS-106,Local government accounts payable and receivable records,"These are records related to monies collected, paid, or invested in the conduct of business. Information may include bank records, invoices, revenue, expenses, and related accounting records. Trust records are not included.","Retain for 4 years, and then destroy records.",2018-04-23,Current,Financial Management
GRS-1684,Working files,"These records contain unique information in rough notes or drafts assembled or created and used to prepare or analyze other documents. The information adds proper understanding to the formulation and execution of policies, decisions, actions, or responsibilities.","Retain for 1 year after end of project or program, and then destroy records.",2013-06-01,Current,Administrative
GRS-1854,State government accounts payable and receivable records,"These are records related to monies collected or paid in the conduct of business. Information may include bank records, invoices, revenue, expenses, and related accounting records. Trust records are not included.","Retain for 7 years, and then destroy records.",2018-04-20,Current,Financial Management
GRS-1857,Audited financial statements,The budget is a plan for financial operations for a fiscal year. It documents the actual spending of a governmental entity and may be certified by a budget officer and filed with the state auditor.,Permanent. Retain for 4 years. Transfer records to the archives.,2016-12-01,Current,Financial Management
GRS-1727,Audit records,"These are studies, and reports prepared and produced as a result of an internal or external audit of an entity. Audit records summarize an entity's programs, operations, productivity, performance, compliance, and can include examining and verifying the entities' financial activities for the year.",Permanent. Retain for 10 years. Transfer records to the archives.,2018-04-16,Current,Administrative
